,"Quina eina usa la Trinity a Matrix Reloaded#per petar l'ordinador.","nmap","aircrack","el càssic dir c:\ de totes les pelis",1,"Carles",18/08/07,9,9,"En la película Matrix Reloaded podem veure a Trinity petant un ordinador i a la pantalla es veu com realitza un escaneig de seguretat amb l'eina nmap!!! Un com fet això és mostra una vulnerabilitat real (exploit SSHv1 CRC32) un error de buffer, que amb una eina fingida sshnuke aprofita."
,"Quina versió del wine esta especialitzada#per fer rutllar jocs?","CrossOver","Cedega","xmame",2,"Carles",18/08/07,10,10,"El xmame és un emulador de màquines de videjocs i no una versió del wine"
,"Què vol dir MUD?","Multi-User Dungeon","Massive users dungeon","Monster under drugstore",1,"Nil",18/08/07,11,,
,"Que vol dir MMORPG","Monsters mission on role play game","Massive multiplayer online role play game","MMORPG must organize region part",2,"Nil",18/08/07,12,,
,"Quin model eren els replicants?","Andros 5","Nexus 6","Redmon 4",2,"carles",07/09/07,13,13,"Els robots replicants de la genial peŀlícula blade runner eren el model nexus 6"
,"Per què serveix la comanda#klatu barada nikto","Per reorganitzar l'espai al disc dur","Per evitar la destrucció de la terra","Per instaŀlar el fedora",2,"carles",07/09/07,14,14,"A la peŀlícula “ultimatum a la terra” la frase per aturar el robot que anava a destruir la terra fou: klatu barada nikto"
,"Quin personatge de videojoc considerava#que els noms no eren importants?","Lara Croft","Guybrush Threepwood","Larry Laffer",2,"Carles",18/08/07,15,15,"En Guybrush Threepod.##Protagonista de la saga monkey island#que podem jugar amb l'scummvm.##Quan els dissenyadors van crear#el personatge el programa que usaven#per fer-ho s'anomenava brush i no van#decidir el nom fins al final.#Ells l'anomenaven el noi del brush (Guy_Brush)#i així és com es va dir.#En tota la serie monkey island els#personatges se'n foten#continuament del seu nom"
,"Quan es va fer la pelicula Tron#Què volia dir aquest comanda?","TRace ON. Per debugar","Transient on-line","TeRminal ON",1,"carles",25/08/07,16,16,
,"De què és acrònim HAL a la película 2001#(tot i que ho negui Arthur C Clarck) ","Hardware Adapter Layer","Home and leisure","International Busines Machines",2,"carles",24/08/07,17,17,"IBM = I - 1 = H, B - 1 = A, M - 1 = L"
,"El wesnoth és un joc de tipus","Arcade Shooter","Aventura gràfica","Estratègia per torns",3,"Nil",18/08/07,18,18,
,"El clon per linux dels famosos#Lemmings es diu:","SuperTux","Tux Race","Pingus",3,"lluisanunez",25/08/07,19,19,"Supertux és un clon de Super Mario, Tux Racer és un joc d'animació 3D "
,"En quina peli un ordinador deia:#Quin joc més extrany, la unica#manera de guanyar és no jugar.","Matrix","Tron","Jocs de guerra",3,"carles",25/08/07,20,20,"Quan l'ordinador descrobria la insensatesa de la guerra"
,"Com es deia el noi que duia el#Mazinger Z?","Akira Toriyama","Koji Kabuto","Yawara Inokuma",2,"carles",25/08/07,21,21,
,"Al llibre SnowCrash els americans#són els millors només...","Armament","Repartint pizzes","Maquinari informàtic",2,"Nil",07/09/07,22,22,"SnowCrash es el nom d'un llibre de ciencia ficció (post ciberpunk, en podriem dir)."
,"Muad-dib que vol dir?","Rata saltadora","Escorpí verinós","Cuc gegant",1,"Nil",07/09/07,23,23,"Al llibre Dune, el protagonista, Paul, es reanomenat com a Muad-dib, al comparar-lo amb una rata del desert saltadora"
,"De quin material estan fetes les “air guitars”?","Imaginació","Plastic","Fusta",1,"Nil",07/09/07,24,24,"A les competicions de air guitars els participans fan com si tinguessin una guitarra segint el ritme de la musica. "
,"En Purple del dia del tentacle es# torna dolent perquè es transforma# i aconsegueix..","Ales","Un tercer ull","Braços",2,"Nil",07/09/07,25,25,
,"Si volguéssim jugar al king quest#amb l'ubuntu amb quin no podriem?","DOSbox","DOSemu","DOSgame",3,"Nil",07/09/07,26,26,
,"Si volguéssim jugar al super puzzle fighter amb l'ubuntu","DOSbox","wine","ePSXe",3,"Nil",07/09/07,27,27,
,"Què vol dir MMORPG?","Monsters mission on role play game","Massive multiplayer online role play game","MMORPG must organize region part",2,"Nil",07/09/07,28,,
,"Quin d'aquests mmorpgs te versió per Linux?","World of Warcaft","Hellbreath","Regnum",3,"Nil",07/09/07,29,,
,"Què vol dir MUD?","Multi-User Dungeon","Massive users dungeon","Monster under drugstore",1,"Nil",07/09/07,30,,
,"Quan es va fer la pelicula Tron,#què volia dir aquesta ordre?","TRace ON. Per debugar","Transient on-line","TeRminal ON",1,"carles",25/08/07,31,,
,"Quants jocs de cartes de solitari hi ha#als repositoris d'ubuntu?",3,12,"Més de 100",3,"carles",26/08/07,32,,
,"Quin d'aquests ordinadors NO#duia el processador Zilog Z80-A","ZX Spectrum","Commodore","MSX",2,"carles",26/08/07,33,"Duia un MOS 6510",
,"Quin any es va fer el joc Pong?",1982,1978,1972,3,"carles",26/08/07,34,"El 29 de novembre del 1972 atari va treure aquest joc. ",
,"Quina versió del wine està especialitzada#per a fer rutllar jocs?","CrossOver","Cedega","xmame",2,"Carles",18/08/07,35,"El xmame és un emulador de màquines de videjocs i no una versió del wine",
,"Quin personatge de videojoc considerava#que els noms no eren importants?","Lara Croft","Guybrush Threepwood","Larry Laffer",2,"Carles",18/08/07,36,"En Guybrush Threepwood. Protagonista de la saga monkey island que podem jugar amb el scummvm. Quan els dissenyadors van crear el personatge el programa que usaven per fer-ho s'anomenava brush i no van decidir el nom fins al final. Ells l'anomenaven el “tio” del brush (Guy_Brush) i així és com es va dir. En tota la saga monkey island els personatges se'n foten continuament del seu nom",
,"De què és acrònim HAL a la pel·lícula 2001#(tot i que ho negui Arthur C Clarck) ","Hardware Adapter Layer","Home and leisure","International Busines Machines",2,"carles",24/08/07,37,"IBM = I - 1 = H, B - 1 = A, M - 1 = L",
,"El clon per a Linux dels famosos#Lemmings es diu:","SuperTux","Tux Race","Pingus",3,"lluisanunez",25/08/07,38,"Supertux és un clon de Super Mario, Tux Racer és un joc d'animació 3D ",
,"Quina eina usa la Trinity a Matrix Reloaded#per petar l'ordinador?","nmap","aircrack","el càssic dir c:\ de totes les pelis",1,"Carles",18/08/07,39,"En la película Matrix Reloaded podem veure a Trinity petant un ordinador i a la pantalla es veu com realitza un escaneig de seguretat amb l'eina nmap!!! Un com fet això és mostra una vulnerabilitat real (exploit SSHv1 CRC32) un error de buffer, que amb una eina fingida sshnuke aprofita.",
,"Com avisa Maurice Moss als bombers#quan es crema el seu despatx?","IRC","Missatgeria instantània","correu electrònic",3,"Carles",18/08/07,40,"A la serie IT crowd quan s'estan cremant les oficinies i devant l'impossibilitat de recordar el telèfon dels bombers en Maurice Moss envia un mail per avisar-los. ( Fire... exclamation mark.)",
,"En un capítol de la sèrie 'Porca misèria'#es veu un entorn gràfic de Linux, quin?","KDE","Gnome","XFCE",1,"papapep",18/08/07,41,,
,"El wesnoth és un joc del tipus","Arcade Shooter","Aventura gràfica","Estratègia per torns",3,"Nil",18/08/07,42,,
,"En quina pel·lícula un ordinador deia:#”Quin joc més estrany, la única#manera de guanyar és no jugar”.","Matrix","Tron","Jocs de guerra",3,"carles",25/08/07,43,"Quan l'ordinador descrobria la insensatesa de la guerra",
,"Com es deia el noi que duia el#Mazinger Z?","Akira Toriyama","Koji Kabuto","Yawara Inokuma",2,"carles",25/08/07,44,,
,"Quina pelicula representa els inicis de Microsoft i Apple","Begins of Computers","War Games","Pirates of SillyconValley",3,"quiron",09/09/07,45,,
,"Qui porta la nova generació per a anar on no ha arribat mai ningú?","James T. Kirk","Jean-Luc Picard","Steve Jobs",2,"quiron",09/09/07,27,46
