"Versió:",1,,,,,,,,
"Categoria:","Kumbaworld",,,,,,,,
"Data creació:",08/09/07,,,,,,,,
"Data Darrera revisió:",08/09/07,,,,,,,,
"Autors:","Carles Oriol",,,,,,,,
"Descripció:","Preguntes de cançons i músics",,,,,,,,
"Jugadors","Cançons en català",,,,,,,,
"Idioma","ca",,,,,,,,
"Fons","categoria_ca08.png",,,,,,,,
,"Pregunta","Resposta 1 ","Resposta 2","Resposta 3","ok","Autor ","Data","Num","Comentari o notes"
,"Com han de ser les paraules d'amor?","Dolces i suaus","Senzilles i tendres","Cantades i ballades",2,"carles",08/09/07,11,"Paraules d´amor senzilles i tendres.#No en sabíem més, teníem quinze anys.#No havíem tingut massa temps per aprende´n,#tot just despertàvem del son dels infants.##
Joan Manuel Serrat "
,"Què vol fer la Trinca?","Fer-nos plorar de riure","Fer-nos cantar i ballar","Salvar la humanitat",3,"carles",08/09/07,12,"Au vinga, vinga, vinga !#Arriba la Trinca, Trinca, Trinca#per salvar la humanitat.#Hem inventat una medecina,#que qui la pren ja està curat.##
La Trinca "
,"On et duré si fa mal temps?","A casa","Al llit","A un lloc segur",1,"carles",08/09/07,13,"De tot cor##
Jo et duré a casa si fa mal temps#Jo t’empararé si un cas tens por#Jo te cuidaré si estàs malalta#De tot cor, de tot cor##
Tomeu Penya"
,"Qui ens explicava la trista vida d'un gat?","Josep Pla","Albert Pla","Joan Manuel Serrat",2,"carles",08/09/07,14,"La vida d'un gat##
#
El seu pare era un vell gat gordo i coix#i sa mare una gata de pagès#i ell va néixer una nit sota la pluja#però sa mare morí al part#i el seu pare d´un infart#Però sort que era un gat#i tenia set vides##
#
Albert Pla#"
,"En quin d'aquest grups es va quedar#el baixista de Sopa de Cabra?","Gerard Quintana","Josep Thió","Kabul babà",3,"carles",08/09/07,15,"El grup Kabul Babà, on hi ha Jaume Soler ""Peck"" (guitarra després de la mort de Ninyin) i Francesc ""Cuco"" Lisicic (baix). Josep Bosch (bateria) tam bé va formar part d'aquest grup durant la gravació del seu primer disc (""Club"") i la gira posterior (font: viquipèdia)."
,"Com és el llapis d'Antònia Font?","D'ikea","Gruixut","De color blau",1,"carles",08/09/07,16,"Wa Yeah##
Sa zebra que passa un semàfor i com se desmunta un bidet,#Cosmètics i Margaret Astor, ja se com s´escriu Juliette!!!#Jo cant sa rosa i es cactus i moltes més coses també,#Un llapis d´Ikea, un pistatxo, wa yeah!##
#
Antonia Font"
,"Com es deia el cantant de Brams?","Antoniet","Titot","Titus",2,"carles",08/09/07,17,"Membres de Brams
#
    * Francesc Ribera ""Titot"" - Veu#
    * Jordi Castilla - Teclats#
    * Albert Vila - Baix#
    * David Rosell - Guitarra i Trompeta#
    * Santi Careta - Guitarra#
    * Guillem Vernis - Saxo#
    * Xevi Vila ""Xef"" - Bateria#
    * Sílvia Cardona - Cors#
#"
,"Després de deixar la casa#i prendre el bastó què farem?","Fotre el camp","Cantar","Una cabana",3,"carles",08/09/07,18,"Arrels##
#
Cal que deixi la meva casa i prengui el bastó#cal que amb una esperança trenqui la tristor#faré una cabana de pedra i de fang#on la terra em doni el seu guany##
#
Esquirols"
,"La Companyia elèctrica dharma#ens fa posar la pell de gallina amb?","Catalluna","Somniem","Mediterrani",1,"carles",08/09/07,19,"L'any 1983 la Dharma va treure el seu disc Catalluna. El tema principal és senzillament preciós"
,"Això, amic meu, tan sols ho sap...","en Joan","El vent","La mar",2,"carles",08/09/07,20,"Això, amic meu, tan sols ho sap el vent,#escolta la resposta dins del vent. ##
#
Bob Dylan"
,"Els gossos ens parlen quan ens sentim...","tristos","contents","de marbre",3,"carles",08/09/07,21,"Quan et sentis de marbre##
#
Quan la gola et cremi com un got d’aiguardent#I te'n beguis un altre i bufi el vent de ponent.#Eixuga les desgràcies millor que em facis cas#Ja no pots deixar-ho fins demà.##
#
Gossos#"
,"Ningú m'ho ha demanat però","fa bon dia","jo canto","jo ho vull dir",1,"carles",08/09/07,22,"Bon dia##
Bon dia,#ningú ho ha demanat però fa bon dia,#damunt els caps un sol ben insulent#il·lumina descarat#tot l´espectacle de la gent. ##
#
Els pets#"
,"Com saludaven al començar#un concert els Sopa de cabra?","Salut i peles","Bona nit malparits","Apa, vinga, som-hi!",2,"carles",08/09/07,23,
,"Com saluden al començar#un concert els Pets?","Agafeu-vos fort que comencem","Desperta ferro","Som els pets de Constantí#i visca la mare que ens va parir",3,"carles",08/09/07,24,
,"Per què Sau va deixar de tocar?","Per la mort de Carles Sabater","Perquè no guanyaven prou diners","Per mals rotllos entre els seus membres",1,"carles",08/09/07,25,"Sau es va dissoldre l'any 1999 per la mort sobtada del cantant Carles Sabater al finalitzar un concert."
,"N'gai N'gai recomanava agafar#la guitarra a?","En Joan Petit","En Pol Petit","La gent del món",2,"carles",08/09/07,26,"Pol Petit##
#
Ei Pol petit agafa la guitarra cada nit#surt al carrer i canta una cançó#Canta ben fort i digues la veritat sense cap por#Ei Pol petit també cantaré jo.##
##
N'gai N'gai"
,"Quin grup van formar: Titot, Carles Belda,#Marcel Casellas, David Rosell, Joan Reig#i Pep Toni Rubio?","Som i serem","Brams","Mesclat",3,"carles",08/09/07,27,"Mesclat és un grup de música català que fusiona la música tradicional amb el rock i que està format per músics de diverses formacions d'arreu del país:#
#
    * Carles Belda (Pomada) – acordió diatònic i veu#
    * Marcel Casellas (La Principal de la Nit) – baix i cors#
    * David Rosell (Dept.) – guitarra i veu#
    * Joan Reig (Els Pets) – bateria i cors#
    * Francesc Ribera ""Titot"" (Brams) – veu#
    * Pep Toni Rubio (Música Nostra) – flabiol i tamborino, grall i cors#
#
"
,"Si parlem de les hores passades#de l'alegria que fas reviure al meu cor#i de les cançons cantades, parlem de ","La vella xiruca","El foc de camp","La lluna",1,"carles",08/09/07,28,"Vella xiruca##
#
Vella xiruca quantes hores passades#quanta alegria fa reviure el meu cor#quantes cançons al teu bon pas foren cantades#no em resten cap record##
#
Pujant les muntanyes blanques de neu#fent ruta vers el cel blau#m´has fet descobrir la joia del bon Déu#i assaborir la pau#"
,"Quants vents ens calen#per obrir pas?","Dos","Quatre","Cinc",2,"carles",08/09/07,29,"Quatre vents##
#
A voltes sóc supervivent#dels mapes dels meus sentiments,#i en la tristesa#del llarg camí#sent les ferides del meu temps.##
Perdut a les nits d’occident#he après a viure resistent,#i a les mans porte#cinc continents#i al puny tancat un món sencer##
#
Obrint pas"
,"Què buida sa filosa com una#aranya d'art subtil?","La masovera","El temps","La Balanguera",3,"carles",08/09/07,30,"La Balanguera##
#
La Balanguera misteriosa#com una aranya d'art subtil,#buida que buida sa filosa,#de nostra vida treu lo fil.#Com una parca bé cavil.la#teixint la tela per demà.##
La Balanguera fila, fila,#la Balanguera filarà.##
#r
Poema de Joan Alcover#
Música d'Amadeu Vives#"
,"Ara que som junts què direm#que tu i jo sabem i sovint oblidem?","No","Llibertat","Si",1,"carles",08/09/07,31,"Diguem no##
Ara que som junts#diré el que tu i jo sabem#i que sovint oblidem:##
Hem vist la por#ser llei per a tots.#Hem vist la sang#que sols fa sang#ser llei del món##
No,#jo dic no,#diguem no.#Nosaltres no som d'eixe món ##
#
Raimon"
