"Versió:",1,,,,,,,,
"Categoria:","Mangues i còmics",,,,,,,,
"Data creació:",08/09/07,,,,,,,,
"Data Darrera revisió:",08/09/07,,,,,,,,
"Autors:","Nil Oriol, Marc Oriol",,,,,,,,
"Descripció:","Preguntes sobre còmics i mangues",,,,,,,,
"Jugadors","Persones amb coneixements de còmics",,,,,,,,
"Idioma","ca",,,,,,,,
"Fons","categoria_mc.png",,,,,,,,
,"Pregunta","Resposta 1 ","Resposta 2","Resposta 3","ok","Autor ","Data","Num","Comentari o notes"
,"Que vol dir Kame en japonès?","Bola","Energia","Tortuga",3,"NiliMarc",08/09/07,11,"BOLA DE DRAC#Fullet tortuga es en la versió original Kame Sen'nin i el típic kame hame ha voldria dir ""gran onada de corrent tortuga"" més o menys"
,"Quina és la tècnica definitiva#de la Ginger Inokuma?","L'atac d'en Kaito","Ippon seoi nage","Reigan",2,"NiliMarc",08/09/07,12,"CINTURO NEGRE#La Ginger sempre acava quasi sempre els seus combats amb una tecnica anomenada ""ippon seoi nage"" que es una de les tecniques requerides per al cinturo groc. "
,"De quin material esta fet#el Mazinger Z?","Mazinganium (aliatge final)","Titanum (reforçat)","Japanium (aliatge Z)",3,"NiliMarc",08/09/07,13,"MAZINGER Z# El centre d'investigacions fotoatàmiques va descobrir aquest material per poder crear el robot Mazinger Z"
,"On va néixer Marco?","A un poble rus","A un poble romanès","A un poble italià",3,"NiliMarc",08/09/07,14,"MARCO#En un poble italià al peu de les muntanyes hi viu el nostre amic Marco"
,"Quin problema te en Ranma#amb l'aigua?","Es transforma en noia","Es transforma en panda","Es converteix en mico gegant",1,"NiliMarc",08/09/07,15,"RANMA#En Ranma entrenava Jusenkyo per arribar a ser el millor lluitador d'arts marcials del món, allà ell i el seu pare queden maleïts perquè cauen a l'aigua i quan es mullen es transformen en noia (en Ranma) i panda (el seu pare)"
,"Com anomenen en#Vash l'Estampida?","L'home dels 60.000.000$$","Tifó humanoide","L'home que va foradar la lluna",2,"NiliMarc",08/09/07,16,"TRIGUN#Desprès de la catastròfica arribada al planeta, avent perdut al viatge a la seva estimada, Vash decideix que no permetrè que el seu germà Knives faci mal a ningú més. Però com que ell és un alienigena molt poderos destrueix sense voler una ciutat passant a valdre 60.000.000.000$$ i rebent el seu nou nom ""Tifó Humanoide""."
,"Què menja en Musculman#per tornar-se fort?","Cebes","Espinacs","Alls",3,"NiliMarc",08/09/07,17,"MUSCULMAN#"
,"Quin es el somni d'en Naruto?","Convertir-se en Hokaje","Ser el millor ninja","Venjar-se del seu germà gran",1,"NiliMarc",08/09/07,18,"NARUTO#Quan Naruto neix li segellen un monstre a dins, tot el poble li te por i per això el deixen de banda, per això, Naruto vol ser el Hokaje, el titul mes inportant dels ninges"
,"Ichigo Kurosaki es un#noi normal què...","Veu fantasmes","Lluita contra monstres","Vol controlar el món",1,"NiliMarc",08/09/07,19,"BLEACH#Ichigo Kurosaki no és un noi de quize anys normal i corrent... pot veure esperits i té un contacte innat amb el més enllà, del que traurà profit després de conèixer a un shinigami (àngel de la mort) que li proporciona una espasa a joc amb les seves habilitats"
,"Els “dolents” de Evangelion són...","Àngels","Dimonis","Robots",1,"NiliMarc",08/09/07,20,"EVANGELION#"
,"Que fa López a la oficina?","Juga amb el bolí","Fa ocellets de paper","Treballa",2,"NiliMarc",08/09/07,21,"SUPERLÓPEZ#La personalitat secreta d'en Superlòpez es una feina molt dura"
,"Quin secret té l'Arale?","Es una super heroïna","Que es un robot","Que ve d'un altre planeta",2,"NiliMarc",08/09/07,22,"DR.SLUMP#"
,"Els mangues es llegeixen...","De dreta a esquerra i d'adalt a abaix","De esquerra a dreta i d'adalt a abaix","De esquerra a dreta i d'abaix a adalt",1,"NiliMarc",08/09/07,23,"Es manté la direcció original de les vinyetes"
,"L'Spiderman es transforma en#super heroi després que...","Una radiació estranya l'afecti","El mossegui una aranya","Entri en contacte amb un meteorit",2,"NiliMarc",08/09/07,24,"SPIDERMAN#"
,"Com es diu el planeta natal#d'en Superman?","K-pax","Criptó","Terra",2,"NiliMarc",08/09/07,25,"SUPERMAN#Superman neix a Kriptó, essent el fill de Jor-El, un eminent científic i líder polític. Superman fou batejat amb el nom de Kal-el"
,"Quin poder especial#te en Batman?","Sent ultrasons","Pot volar com els ratpenats","Cap",3,"NiliMarc",08/09/07,26,"BATMAN#L'únic poder que realment té es ser fill de papà"
,"Que menja en Popeye#per tornar-se fort?","Alls","Cebes","Espinacs",3,"NiliMarc",08/09/07,27,"POPEYE#Degut a un error amb la coma, es creia que els espinacs tenien molt més ferro del que realment tenien i per això en Popeye quan necessita ser fort menja espinacs"
,"D'on surten o van tots els#autobusos i metros del super López?","Barcelona","Masnou","Hospitalet",2,"NiliMarc",08/09/07,28,"SUPERLÒPEZ#"
,"Amb qui viu la Heidi?","Sola","Amb els seus pares","Amb l'avi",3,"NiliMarc",08/09/07,29,"HEIDI#La seva tieta aconsegeix feina i l'envia a viure amb el seu avi al qui ni tansols coneixia"
,"Com es diu en Superman#al seu planeta natal?","Jor-el","Kal-el","Sar-el",2,"NiliMarc",08/09/07,30,"SUPERMAN#Superman neix a Kriptó, essent el fill de Jor-El, un eminent científic i líder polític. Superman fou batejat amb el nom de Kal-el"
,"Que la Yubaba mai et robi...","La voluntat","El nom","La imaginació",2,"NiliMarc",08/09/07,31,"EL VIATGE DE CHIHIRO#La Yubaba es la bruixa dolenta del viatge de Chihiro, que fa que dona sobrenoms als seus perquè si obliden el seu nom ja no són ningú i els pot controlar. Per això el Haku li diu a la Chihiro què mai oblidi el seu nom."
,"La personalitat secreta de#l'increible Hulk és:","Bruce Banner","Bruce Wayne","Bruce Lee",1,"NiliMarc",08/09/07,32,"L'INCREIBLE HULK#"
,"Quin es l'únic lloc del món on#hi ha un Mazinger gegant?","Japó","Corea","Tarragona",3,"NiliMarc",08/09/07,33,"MAZINGER Z#A Tarragona s'hi anava a construir una urbanització (mas de plata) que com a reclam turístic tenia un mazinger gegant, però la urbanització no es va acabar i va quedar el mazinger abandonat."
,"Quants dits tenen els personatges#dels simpsons?",3,4,5,2,"NiliMarc",08/09/07,34,"SIMPSONS#"
,"Quin es el deu de l'Obèlix?","Balenus","Senglarus","Tutatis",3,"NiliMarc",08/09/07,35,"AST?RIX EL GAL#"
,"Quina diferencia hi ha entre#el Dupond i Dupont?","El bigoti","Un es esquerrà i l'altre és dretà","Són exactament iguals",1,"NiliMarc",08/09/07,36,"TINTIN#"
